k,k_eff,N,delta,d,sigma,block_bits,blocks,d0,h,outer_log2,outer_z,inner_log2,term_log2,cum_log2
1048576,1048576,2097152,0.09,188743,32,256,4096,32,140,195.021536,0.396059859435,-342.412726,-147.391190,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,141,196.357745,0.396059859435,-344.741773,-148.384028,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,142,197.693955,0.396059859435,-347.070006,-149.376051,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,143,199.030165,0.396059859435,-349.397506,-150.367342,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,144,200.366374,0.396059859435,-351.724350,-151.357976,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,145,201.702584,0.396059859435,-354.050608,-152.348024,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,146,203.038793,0.396059859435,-356.376344,-153.337551,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,147,204.375003,0.396059859435,-358.701615,-154.326612,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,148,205.711213,0.396059859435,-361.026474,-155.315262,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,149,207.047422,0.396059859435,-363.350970,-156.303548,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,150,208.383632,0.396059859435,-365.675145,-157.291513,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,151,209.719841,0.396059859435,-367.999038,-158.279197,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,152,211.056051,0.396059859435,-370.322686,-159.266635,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,153,212.392261,0.396059859435,-372.646118,-160.253858,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,154,213.728470,0.396059859435,-374.969365,-161.240895,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,155,215.064680,0.396059859435,-377.292452,-162.227772,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,156,216.400889,0.396059859435,-379.615402,-163.214513,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,157,217.737099,0.396059859435,-381.938237,-164.201138,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,158,219.073309,0.396059859435,-384.260974,-165.187665,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,159,220.409518,0.396059859435,-386.583630,-166.174112,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,160,221.745728,0.396059859435,-388.906222,-167.160494,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,161,223.081937,0.396059859435,-391.228761,-168.146824,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,162,224.418147,0.396059859435,-393.551261,-169.133114,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,163,225.754357,0.396059859435,-395.873731,-170.119374,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,164,227.090566,0.396059859435,-398.196181,-171.105615,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,165,228.426776,0.396059859435,-400.518620,-172.091844,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,166,229.762985,0.396059859435,-402.841055,-173.078070,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,167,231.099195,0.396059859435,-405.163493,-174.064298,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,168,232.435405,0.396059859435,-407.485940,-175.050535,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,169,233.771614,0.396059859435,-409.808401,-176.036787,-40.520728
