bucket,H,T_count,max_log2_minus_left,T_at_max,left_log2,max_log2,left_reproduction_delta
gap_8001_12000,80,4000,-3.87075260733e-10,13949,-156.671239337,-156.671239337,-3.87075260733e-10
gap_1_4000,81,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,81,4000,-1.25355370528e-09,9949,-118.399840408,-118.399840409,-1.25355370528e-09
gap_8001_12000,81,4000,-3.16802584166e-09,13949,-157.892545577,-157.89254558,-3.16802584166e-09
gap_1_4000,82,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,82,4000,-2.56463295045e-10,9949,-119.133770909,-119.133770909,-2.56463295045e-10
gap_8001_12000,82,4000,-2.69619704341e-09,13949,-159.114066981,-159.114066984,-2.69619704341e-09
gap_1_4000,83,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,83,4000,-1.81046289072e-10,9949,-119.867910779,-119.867910779,-1.81046289072e-10
gap_8001_12000,83,4000,-1.36975586429e-09,13949,-160.335798407,-160.335798408,-1.36975586429e-09
gap_1_4000,84,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,84,4000,-3.72395447812e-10,9949,-120.602255061,-120.602255061,-3.72395447812e-10
gap_8001_12000,84,4000,1.42847511597e-10,13949,-161.557734894,-161.557734894,1.42847511597e-10
gap_1_4000,85,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,85,4000,2.35587549469e-10,9949,-121.336798971,-121.336798971,2.35587549469e-10
gap_8001_12000,85,4000,2.07620587389e-10,13949,-162.779871657,-162.779871657,2.07620587389e-10
gap_1_4000,86,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,86,4000,-9.57513179856e-10,9949,-122.071537888,-122.071537889,-9.57513179856e-10
gap_8001_12000,86,4000,1.38186351251e-10,13949,-164.00220408,-164.002204079,1.38186351251e-10
gap_1_4000,87,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,87,4000,6.46707576379e-10,9949,-122.806467358,-122.806467357,6.46707576379e-10
gap_8001_12000,87,4000,-5.77244918532e-10,13949,-165.2247277,-165.2247277,-5.77244918532e-10
gap_1_4000,88,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,88,4000,-1.42239287015e-09,9949,-123.541583063,-123.541583065,-1.42239287015e-09
gap_8001_12000,88,4000,7.78811681812e-10,13949,-166.447438212,-166.447438211,7.78811681812e-10
gap_1_4000,89,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,89,4000,8.68283223099e-12,9949,-124.276880848,-124.276880848,8.68283223099e-12
gap_8001_12000,89,4000,-3.33531602337e-09,13949,-167.670331445,-167.670331448,-3.33531602337e-09
gap_1_4000,90,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,90,4000,-2.81644929601e-10,9949,-125.01235668,-125.01235668,-2.81644929601e-10
gap_8001_12000,90,4000,-7.09093228579e-10,13949,-168.893403382,-168.893403383,-7.09093228579e-10
gap_1_4000,91,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,91,4000,-2.20218510094e-09,9949,-125.748006664,-125.748006667,-2.20218510094e-09
gap_8001_12000,91,4000,-6.33548324913e-10,13949,-170.116650122,-170.116650123,-6.33548324913e-10
gap_1_4000,92,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,92,4000,-4.50398829344e-10,9949,-126.483827039,-126.483827039,-4.50398829344e-10
gap_8001_12000,92,4000,-1.84283521776e-09,13949,-171.340067897,-171.340067898,-1.84283521776e-09
gap_1_4000,93,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,93,4000,3.8622260945e-10,9949,-127.219814151,-127.219814151,3.8622260945e-10
gap_8001_12000,93,4000,-8.14992517917e-10,13949,-172.563653062,-172.563653063,-8.14992517917e-10
gap_1_4000,94,4000,3.5527136788e-15,5949,-20.0117348926,-20.0117348926,3.5527136788e-15
