band0_weight,band1_weight,count
32,25,834294318750090
32,26,577588370206901
32,27,363666736106676
32,28,207809543267905
32,29,107487706863860
32,30,50160939815230
32,31,21035224138005
32,32,7888209504174
32,33,2629406300327
32,34,773354350140
32,35,198862521609
32,36,44191658761
32,37,8360644738
32,38,1320091122
32,39,169223397
32,40,16928529
32,41,1239463
32,42,58769
32,43,1286
33,0,455
33,1,19641
33,2,412627
33,3,5645035
33,4,56412877
33,5,440024108
33,6,2786890179
33,7,14730524256
33,8,66287284943
33,9,257785534302
33,10,876467749361
33,11,2629401896459
33,12,7011741809759
33,13,16720310227139
33,14,35829242213065
33,15,69269855552144
33,16,121222242501984
33,17,192529457288145
33,18,278098092807796
33,19,365918541571443
33,20,439102261409117
33,21,480921529317773
33,22,480921535112301
33,23,439102251667574
33,24,365918535950044
33,25,278098111803001
33,26,192529455450378
33,27,121222231767069
33,28,69269858767453
33,29,35829243175333
33,30,16720307108303
33,31,7011743086804
33,32,2629405080001
33,33,876467309566
33,34,257784018669
33,35,66287262378
33,36,14730764762
33,37,2786920063
33,38,440009624
33,39,56412902
33,40,5645485
33,41,413441
33,42,19825
33,43,432
34,0,119
34,1,5839
34,2,121306
34,3,1659988
34,4,16592772
34,5,129409864
34,6,819638361
34,7,4332521229
34,8,19496373920
34,9,75819267039
34,10,257785086342
34,11,773354431723
34,12,2062276863448
34,13,4917736766163
34,14,10538010919665
34,15,20373488710204
34,16,35653598668086
34,17,56626300593653
34,18,81793561240696
34,19,107623120232328
34,20,129147727577036
34,21,141447496625535
34,22,141447503510383
34,23,129147723568876
34,24,107623100888876
34,25,81793557307169
34,26,56626306919396
34,27,35653603083216
34,28,20373492704672
34,29,10538010425081
34,30,4917735941267
34,31,2062278533544
34,32,773354290243
34,33,257784043976
34,34,75818858702
34,35,19496292928
34,36,4332554872
34,37,819634797
